study_version,threshold_policy,window_days,entries_per_day,positive_group,n_positive,n_negative,threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,false_positive_rate,f1_ci_low,f1_ci_high,recall_ci_low,recall_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,auroc,auroc_ci_low,auroc_ci_high,auroc_deviation_only,auroc_rules_only,auroc_temporal_shift_only,mean_temporal_shift_positive,mean_temporal_shift_negative,not_enough_data_rate,baseline_mean_error_in_sd,baseline_mean_error_ci_low,baseline_mean_error_ci_high,baseline_std_relative_error,oracle_f1_in_hindsight,oracle_threshold_in_hindsight
data-sufficiency-1,fpr_controlled,7,1,shift_moderate,120,120,4.5285,51,23,69,97,0.6891891891891891,0.425,0.5257731958762887,0.19166666666666668,0.435258,0.607151,0.34023,0.514422,0.13125,0.271212,0.7084027777777778,0.63976,0.768104,0.7320138888888889,0.7291319444444444,0.5771875,2.42,2.2020833333333334,0.0,0.31618718749999997,0.305774,0.326704,0.3447537875,0.724739,2.57
data-sufficiency-1,fpr_controlled,7,1,shift_large,120,120,4.5285,101,23,19,97,0.8145161290322581,0.8416666666666667,0.8278688524590163,0.19166666666666668,0.774468,0.876497,0.765907,0.89623,0.13125,0.271212,0.8447569444444445,0.79047,0.898839,0.8692708333333333,0.9197569444444444,0.6240277777777777,2.5324999999999998,2.2020833333333334,0.0,0.31298192083333326,0.30137,0.323777,0.34715290833333334,0.849421,3.68
data-sufficiency-1,fpr_controlled,7,1,all_shift,240,120,4.5285,152,23,88,97,0.8685714285714285,0.6333333333333333,0.7325301204819277,0.19166666666666668,0.680512,0.780148,0.570712,0.691754,0.13125,0.271212,0.7765798611111111,0.721994,0.827349,0.8006423611111111,0.8244444444444444,0.6006076388888889,2.47625,2.2020833333333334,0.0,0.31203759444444445,0.303563,0.320634,0.3431708666666667,0.83908,2.57
data-sufficiency-1,fpr_controlled,7,3,shift_moderate,120,120,4.5285,82,16,38,104,0.8367346938775511,0.6833333333333333,0.7522935779816514,0.13333333333333333,0.685714,0.81106,0.595521,0.759772,0.083766,0.205648,0.8301041666666666,0.777981,0.878547,0.855625,0.8389930555555556,0.5202083333333334,2.3879166666666665,2.32,0.0,0.30233000416666667,0.292164,0.312567,0.2602747458333334,0.769912,4.1575
data-sufficiency-1,fpr_controlled,7,3,shift_large,120,120,4.5285,119,16,1,104,0.8814814814814815,0.9916666666666667,0.9333333333333335,0.13333333333333333,0.899214,0.962687,0.954304,0.998527,0.083766,0.205648,0.9734027777777777,0.948295,0.994305,0.9738888888888889,0.9737152777777778,0.5663888888888889,2.5262499999999997,2.32,0.0,0.3093211208333333,0.297696,0.320564,0.25662596666666665,0.95935,5.0925
data-sufficiency-1,fpr_controlled,7,3,all_shift,240,120,4.5285,201,16,39,104,0.9262672811059908,0.8375,0.8796498905908097,0.13333333333333333,0.847217,0.909091,0.785575,0.878791,0.083766,0.205648,0.9017534722222222,0.865917,0.935193,0.9147569444444444,0.9063541666666667,0.5432986111111111,2.457083333333333,2.32,0.0,0.3053755361111111,0.295897,0.314484,0.2596571305555555,0.888412,4.1575
data-sufficiency-1,fpr_controlled,7,5,shift_moderate,120,120,4.5285,99,9,21,111,0.9166666666666666,0.825,0.8684210526315789,0.075,0.817766,0.914286,0.747243,0.882595,0.039957,0.136409,0.9271527777777778,0.89079,0.960047,0.9382291666666667,0.8948611111111111,0.5939583333333334,2.4270833333333335,2.1458333333333335,0.0,0.3034746125,0.293893,0.313631,0.24519289166666666,0.878661,4.27
data-sufficiency-1,fpr_controlled,7,5,shift_large,120,120,4.5285,120,9,0,111,0.9302325581395349,1.0,0.963855421686747,0.075,0.937493,0.984733,0.968981,1.0,0.039957,0.136409,0.9859722222222222,0.964288,1.0,0.9838888888888889,0.9803819444444445,0.6865277777777777,2.6479166666666667,2.1458333333333335,0.0,0.29411850416666663,0.284,0.30472,0.24206090416666667,0.983607,5.5325
data-sufficiency-1,fpr_controlled,7,5,all_shift,240,120,4.5285,219,9,21,111,0.9605263157894737,0.9125,0.935897435897436,0.075,0.910674,0.958335,0.869945,0.942058,0.039957,0.136409,0.9565625,0.930204,0.979657,0.9610590277777777,0.9376215277777777,0.6402430555555556,2.5375,2.1458333333333335,0.0,0.29922798333333334,0.290835,0.307955,0.24400837500000003,0.939457,4.27
data-sufficiency-1,fpr_controlled,10,1,shift_moderate,120,120,4.5285,47,13,73,107,0.7833333333333333,0.39166666666666666,0.5222222222222223,0.10833333333333334,0.428571,0.608732,0.308992,0.481062,0.064411,0.176554,0.7313541666666666,0.667266,0.794298,0.7646875,0.7210069444444445,0.5771875,2.42,2.2020833333333334,0.0,0.25949778333333334,0.249671,0.269803,0.2742449333333334,0.72028,2.5585
data-sufficiency-1,fpr_controlled,10,1,shift_large,120,120,4.5285,99,13,21,107,0.8839285714285714,0.825,0.8534482758620688,0.10833333333333334,0.8,0.897787,0.747243,0.882595,0.064411,0.176554,0.8905555555555555,0.844407,0.931683,0.9072916666666667,0.9189236111111111,0.6240277777777777,2.5324999999999998,2.2020833333333334,0.0,0.2604035375,0.251113,0.26973,0.27808939583333336,0.861789,3.9025
data-sufficiency-1,fpr_controlled,10,1,all_shift,240,120,4.5285,146,13,94,107,0.9182389937106918,0.6083333333333333,0.7318295739348372,0.10833333333333334,0.683408,0.78118,0.545336,0.667917,0.064411,0.176554,0.8109548611111111,0.760476,0.858295,0.8359895833333333,0.8199652777777777,0.6006076388888889,2.47625,2.2020833333333334,0.0,0.2598489388888889,0.252396,0.267338,0.27524668611111114,0.836852,2.5585
data-sufficiency-1,fpr_controlled,10,3,shift_moderate,120,120,4.5285,84,10,36,110,0.8936170212765957,0.7,0.7850467289719626,0.08333333333333333,0.717703,0.841202,0.612849,0.774744,0.045894,0.146622,0.8511458333333334,0.800615,0.89731,0.8800694444444445,0.838125,0.5202083333333334,2.3879166666666665,2.32,0.0,0.25527225000000003,0.246754,0.264016,0.21060835833333333,0.785388,4.3755
data-sufficiency-1,fpr_controlled,10,3,shift_large,120,120,4.5285,118,10,2,110,0.921875,0.9833333333333333,0.9516129032258064,0.08333333333333333,0.922413,0.976923,0.941264,0.995417,0.045894,0.146622,0.99625,0.991939,0.999231,0.995,0.9815625,0.5663888888888889,2.5262499999999997,2.32,0.0,0.2564418375,0.247181,0.266066,0.2037564,0.970954,5.2195
data-sufficiency-1,fpr_controlled,10,3,all_shift,240,120,4.5285,202,10,38,110,0.9528301886792453,0.8416666666666667,0.8938053097345132,0.08333333333333333,0.864438,0.923432,0.790149,0.882419,0.045894,0.146622,0.9236979166666667,0.896502,0.947713,0.9375347222222222,0.90984375,0.5432986111111111,2.457083333333333,2.32,0.0,0.25540593333333333,0.247866,0.262992,0.20915567222222223,0.897603,4.3605
data-sufficiency-1,fpr_controlled,10,5,shift_moderate,120,120,4.5285,96,7,24,113,0.9320388349514563,0.8,0.8609865470852018,0.058333333333333334,0.809518,0.90678,0.719633,0.861755,0.028541,0.115526,0.9420833333333334,0.910687,0.968678,0.9605208333333334,0.9063541666666667,0.5939583333333334,2.4270833333333335,2.1458333333333335,0.0,0.253308325,0.244761,0.261889,0.20274384583333332,0.878049,3.8515
data-sufficiency-1,fpr_controlled,10,5,shift_large,120,120,4.5285,120,7,0,113,0.9448818897637795,1.0,0.97165991902834,0.058333333333333334,0.947826,0.991736,0.968981,1.0,0.028541,0.115526,0.9997222222222222,0.998883,1.0,0.9999305555555555,0.9855902777777777,0.6865277777777777,2.6479166666666667,2.1458333333333335,0.0,0.24685941666666666,0.237611,0.255995,0.1973498333333333,0.995851,5.6725
data-sufficiency-1,fpr_controlled,10,5,all_shift,240,120,4.5285,216,7,24,113,0.968609865470852,0.9,0.9330453563714903,0.058333333333333334,0.907895,0.955414,0.85552,0.931876,0.028541,0.115526,0.9709027777777778,0.954914,0.984528,0.9802256944444444,0.9459722222222222,0.6402430555555556,2.5375,2.1458333333333335,0.0,0.25123646666666666,0.244266,0.258397,0.20126348333333333,0.939203,4.0835
